P_NAME,Probability,ESI
TRAPPIST-1 d,97.50133290621775,90.76624100000001
Teegarden's Star b,97.18784749016226,96.836238
Ross 508 b,96.6029618976655,77.077072
Kepler-1410 b,96.36861262560149,79.997417
GJ 273 b,96.13338201628281,85.463759
K2-18 b,95.77641139051258,70.093768
Kepler-1649 c,95.27799334828791,92.52979
Kepler-452 b,91.87113693662134,82.67185
Wolf 1061 c,90.55274462294386,80.21875200000001
TOI-700 e,90.33028275836074,91.203186
K2-72 e,90.02698844306151,87.082357
Kepler-440 b,86.87309785428876,75.26026300000001
GJ 1061 c,84.10934410769887,85.79105799999999
Kepler-296 e,81.04945787607681,85.18707599999999
Kepler-283 c,77.7080236494281,79.063717
GJ 667 C c,76.91935517087092,79.81013999999999
Ross 128 b,75.69629631220768,85.77206699999999
K2-3 d,75.3640518616392,81.426382
TOI-700 d,74.95561351393896,94.117592
Kepler-22 b,74.44448162666195,72.16326
Kepler-1638 b,74.13024003882097,75.706411
Kepler-1652 b,74.0887691382488,82.580569
Kepler-1544 b,72.95154420082768,79.266351
K2-155 d,70.29347085632129,72.989462
LHS 1140 b,69.96268100358175,65.784339
Kepler-438 b,69.96086629811445,83.283844
TOI-715 b,69.86914831127947,80.676025
TOI-1452 b,69.78058405389486,72.006129
Kepler-1512 b,69.72047946939864,81.184745
GJ 667 C f,69.48099712968718,76.372993
GJ 3323 b,69.47838706943882,68.021567
GJ 3323 c,69.45390611504213,49.034681
Kepler-442 b,69.4440364629128,83.824202
GJ 667 C e,69.44356313687524,59.946584
Kepler-1229 b,69.42237177760333,62.04943899999999
GJ 1132 c,69.40731468770075,73.238181
GJ 1061 d,69.37273498149614,85.863511
Kepler-296 f,69.30349463289926,65.849997
K2-288 B b,69.28949305177082,64.648814
GJ 682 b,69.2792231185976,56.760583
TOI-237 b,69.26792833600148,58.515767
LHS 3844 b,69.25724995355256,30.643918
TOI-1468 c,69.23769841285633,63.779096
Kepler-446 d,69.23032984862802,59.474951
Kepler-1582 b,69.22407478046738,54.879252
TOI-1680 b,69.20904356471422,53.583287999999996
GJ 3988 b,69.17688347881506,64.622072
GJ 1002 c,69.1334371289323,58.171525
TOI-2096 b,69.11855286594269,42.155151000000004
Wolf 1069 b,69.10976012754026,84.859348
Kepler-445 d,69.10396939360255,56.191506999999994
K2-25 b,69.06786024353919,29.440309
Kepler-186 f,69.06505661519114,61.08342
GJ 1061 b,69.06153703590711,57.158634
CD Cet b,69.05834010544307,40.416679
TRAPPIST-1 b,69.05606577547809,56.548578000000006
GJ 1002 b,69.02709268733614,86.151546
TRAPPIST-1 c,69.02669039091609,73.055616
Proxima Cen b,69.02367987030001,86.41422899999999
LHS 1140 c,69.00485720721841,51.278419
L 98-59 e,68.97619891497126,69.17328499999999
GJ 625 b,68.97347446473019,71.35360200000001
Kepler-446 b,68.92898756466508,35.551275
TOI-2096 c,68.92032154448597,53.629532000000005
TRAPPIST-1 g,68.91529334313925,57.566382000000004
Teegarden's Star c,68.84641353642284,65.90047799999999
EPIC 201238110 b,68.79869373437053,71.61071700000001
K2-384 e,68.7955250862314,58.966149
TOI-2266 b,68.78612861582215,35.365165
TOI-2136 b,68.78284553168689,50.033629000000005
YZ Cet d,68.78173740007755,67.449052
YZ Cet c,68.75993656282465,53.992253
Kepler-446 c,68.75111486820282,46.721082
Wolf 1061 b,68.7493880752393,45.821769
K2-72 c,68.72249087353627,70.333797
G 264-012 c,68.69292795396977,54.005486000000005
TRAPPIST-1 f,68.68637878026257,67.711241
LTT 3780 c,68.66836583574354,55.893576
Kepler-445 b,68.65128567618322,35.223075
L 98-59 c,68.63956385081902,39.979099
Kepler-1649 b,68.62082099534653,77.1452
TOI-2445 b,68.59994693713975,29.54925
K2-384 d,68.59037385984166,48.565754
K2-146 c,68.54721636947902,33.244369
Kepler-560 b,68.54389396522092,65.293369
GJ 251 b,68.52554940190251,62.909696000000004
GJ 411 b,68.4953095217104,61.154459
G 264-012 b,68.46286172685798,34.826581000000004
Teegarden's Star d,68.45808728546729,43.941754
LTT 1445 A c,68.44442900007816,39.175357
GJ 357 c,68.40578657431679,52.70426499999999
K2-316 c,68.37644689983725,51.032551999999995
TRAPPIST-1 e,68.37114920655772,84.549451
K2-384 c,68.36379567431237,40.844712
K2-133 e,68.33288957183606,71.91063
L 363-38 b,68.2941283356195,45.244997
GJ 273 c,68.29061361171873,47.597106
K2-239 d,68.26025635922643,61.218941
GJ 3293 e,68.23763813694642,58.30409600000001
LP 791-18 d,68.19962858851027,50.07441299999999
K2-315 b,68.19342808883725,45.742471
GJ 581 e,68.18602037767478,37.151251
YZ Cet b,68.17620549826026,44.521766
K2-146 b,68.16957746394367,30.418824
TOI-1442 b,68.13747774425727,29.743508000000002
GJ 15 A b,68.11732563733804,53.462708000000006
GJ 357 b,68.10143782290278,39.591069000000005
Kepler-296 d,68.06716292907147,62.067996
EPIC 206215704 b,67.9850483256217,39.343273
TOI-540 b,67.95947708005347,35.050419
K2-129 b,67.95764606185365,54.46506
K2-316 b,67.91565199377628,30.599273999999998
EPIC 201170410.02,67.90102275673509,41.742203
K2-239 b,67.88800454223805,44.517693
TOI-206 b,67.88245973352348,29.885731999999997
L 98-59 d,67.88009842634254,52.714337
K2-72 b,67.87465743930161,43.154405000000004
LTT 3780 b,67.80489529156246,29.837792
K2-400 b,67.79829818827852,37.939486
LHS 475 b,67.79007108492897,35.345302000000004
K2-72 d,67.74449145841143,49.911318
Kepler-249 d,67.72249263054465,58.36518
K2-384 b,67.71783600533756,34.614725
K2-239 c,67.67688368546368,53.583521
K2-91 b,67.61105341953656,31.785123
GJ 3473 b,67.57154279641539,31.135508
Kepler-42 b,67.57069877240347,36.193802000000005
Kepler-296 b,67.56310826293557,49.13017
K2-150 b,67.55400739918862,47.581455
Kepler-504 b,67.54623100371256,46.077378
TRAPPIST-1 h,67.53444776245419,46.227140999999996
TOI-244 b,67.51240424717432,44.418259
Kepler-395 c,67.499882811864,73.889128
TOI-198 b,67.48574425748451,57.487254
Kepler-186 e,67.48389096044916,60.483093
LHS 1678 d,67.47494000314896,43.342078
GJ 367 c,67.46385002845496,48.708457
TOI-1266 c,67.41730560948469,67.55864
TOI-1266 b,67.38387576700434,45.212485
Kepler-1439 b,67.33997914112406,43.269579
Kepler-42 c,67.33556836344619,30.498545999999997
GJ 393 b,67.32470470805043,42.881937
Kepler-369 c,67.26961908451045,54.345487000000006
K2-354 b,67.23049966881001,34.559497
TOI-270 b,67.22363711956305,36.018559
Kepler-54 d,67.2168696419753,60.488085999999996
Kepler-737 b,67.1752847136908,62.24731799999999
Kepler-1650 b,67.09819336577944,32.144884000000005
K2-323 b,67.07815453862953,58.00733
Kepler-441 b,67.01991152365964,51.489081000000006
K2-133 d,67.01103186800886,44.452607
Kepler-249 c,66.97085851463453,40.971030000000006
K2-151 b,66.95087159802591,34.491161999999996
EPIC 206032309 b,66.89129878236828,33.497372
Kepler-42 d,66.8675369205259,38.86222
TOI-700 b,66.85618707148849,52.704018
Kepler-296 c,66.81592830721812,35.624429
Kepler-186 d,66.73765585741113,46.215771
Kepler-138 e,66.68703898601218,79.42496799999999
GJ 887 b,66.62142306511598,40.97419
TOI-1693 b,66.6195450910996,30.77622
TOI-776 c,66.59043211526735,47.504892
K2-133 c,66.51820946485776,34.796423
HD 260655 c,66.51260581708132,35.806316
K2-240 c,66.47639483452005,53.302868000000004
EPIC 228836835 b,66.45779659443335,30.017627
K2-343 c,66.45606668297444,37.3046
K2-133 b,66.3967646325933,32.717569000000005
L 98-59 b,66.38052198716339,34.784141000000005
GJ 1252 b,66.306383765169,29.615550000000002
Kepler-236 c,66.29883538501365,54.87812399999999
TOI-1470 b,66.27736130938246,27.249568000000004
Kepler-1319 b,66.21540594452264,31.78378
K2-3 c,66.20684065732412,59.721168999999996
Kepler-1651 b,66.16764245623355,39.654804999999996
GJ 806 b,66.14284606049434,29.636305
Kepler-249 b,66.10261980485086,34.434494
K2-149 b,66.08602479781072,44.03805
Kepler-186 c,66.06808037840406,35.461194
K2-318 b,65.99924596537485,45.579138
TOI-2081 b,65.98872716076373,39.728239
K2-153 b,65.94640968509775,36.187515999999995
K2-343 b,65.94612039474292,30.622684
TOI-1695 b,65.86042895478646,29.288864999999998
Kepler-138 d,65.82944679709404,59.017988
GJ 1132 b,65.7849943711082,36.158321
Kepler-327 d,65.75865403156733,44.157953
GJ 3138 c,65.67296822715271,35.062971999999995
K2-104 b,65.6608379344275,28.629075999999998
Kepler-369 b,65.59303133904673,32.421746
TOI-1685 b,65.5868912416748,27.552782999999998
GJ 3998 b,65.58396928100683,31.197872
LTT 1445 A b,65.56572698131802,36.118048
K2-117 c,65.5352055921774,32.025255
Kepler-974 b,65.50837692136436,32.828590000000005
TOI-776 b,65.49401992794567,36.934369000000004
GJ 3929 b,65.45530616900966,37.0086
TOI-1801 b,65.42349937888719,37.428643
EPIC 211822797 b,65.40930496101454,48.103316
Kepler-691 b,65.39287740388306,35.363369999999996
K2-286 b,65.38948886638578,57.551151
GJ 486 b,65.34620071663677,32.06508
Kepler-49 e,65.34549620964242,48.672125
LHS 1678 c,65.31209890449628,38.964985
Kepler-83 c,65.29671887613463,42.780228
Kepler-186 b,65.22821751682761,33.171879
Kepler-138 c,65.210067342547,45.682631
Kepler-1904 b,65.16882995615354,33.42685
Kepler-732 c,65.14977560350964,29.468546
Kepler-52 d,65.14780698244252,57.601113999999995
Kepler-1124 b,65.0808429752106,31.451613000000002
Kepler-1089 b,65.07264776002114,32.617528
K2-3 b,65.04986391710949,36.466942
GJ 3138 b,64.96599337642004,30.232551
Kepler-235 d,64.94161441091977,45.906569000000005
TOI-1468 b,64.90434457865992,32.463505
K2-83 c,64.89977339769534,38.355291
Kepler-236 b,64.8889842649667,36.761275
K2-240 b,64.85519025642448,31.782103
Kepler-32 e,64.82953150179866,30.782957
K2-155 b,64.80301048550285,33.337848
K2-117 b,64.79062332573154,26.392042999999997
Kepler-617 b,64.69157821555294,29.96277
Kepler-155 b,64.62125355791883,31.435832
Kepler-1735 b,64.6115498829909,37.001232
Kepler-353 c,64.60461089483032,36.900822
Kepler-1805 b,64.50650040368714,37.114877
K2-321 b,64.4116543675677,29.644021999999996
K2-344 b,64.39007380442494,30.259831
Kepler-1350 c,64.31580440399159,28.083945999999997
Kepler-2000 c,64.27396500056672,47.479902
Kepler-1741 b,64.2540541392182,30.896084000000002
Kepler-395 b,64.0975912311805,37.054234
Kepler-327 b,64.07413884288177,31.321964
TOI-1749 d,64.06346464442542,31.534199
HIP 107772 b,63.997022191505096,59.33426000000001
K2-83 b,63.98497217666594,30.880975
Wolf 327 b,63.95364814482338,29.481880999999998
HD 85512 b,63.8864123195906,64.39474899999999
Kepler-235 c,63.865600493168344,35.8722
GJ 740 b,63.84450062207713,29.54586
K2-257 b,63.83216422117836,30.546832000000002
Kepler-1761 b,63.778110778920805,31.782276
Kepler-125 c,63.75653278410923,35.83096
Kepler-988 b,63.74759071079502,40.359153
Kepler-1308 b,63.72668208722314,28.473978
Kepler-1074 b,63.674810617902835,33.992135000000005
Kepler-779 b,63.62334280016658,35.788008
G 9-40 b,63.61075997733011,41.388817
Kepler-1450 b,63.43681427617556,60.405196000000004
Kepler-205 c,63.256126158614144,43.397248
Kepler-1389 b,63.23362557436468,69.87620199999999
Kepler-49 d,63.168697333419864,29.197264
Kepler-329 c,63.05010515579015,40.021119
Kepler-225 c,63.01191973093245,40.85451
Kepler-353 b,62.970914344979136,34.599959000000005
